0	38	70	71	72	92	
0	0	0	0	0	0	
200	0	0	0	0	0	
400	0	0	0	0	0	
600	0	0	0	0	0	
800	0	0	0	0	0	
1000	0	0	0	0	0	
1200	0	0	0	0	0	
1400	0	0	0	0	0	
1600	0	0	0	0	0	
1800	0	0	0	0	0	
2000	0	0	0	0	0	
2200	0	0	0	0	0	
2400	0	0	0	0	0	
2600	0	0	0	0	0	
2800	0	0	0	0	0	
3000	0	0	0	0	0	
3200	0	0	0	0	0	
3400	0	0	0	0	0	
3600	0	0	0	0	0	
3800	0	0	0	0	0	
4000	0	0	0	0	0	
4200	0	0	0	0	0	
4400	0	0	0	0	0	
4600	0	0	0	0	0	
4800	0	0	0	0	0	
5000	0	0	0	0	0	
5200	0	0	0	0	0	
5400	0	0	0	0	0	
5600	0	0	0	0	0	
5800	0	0	0	0	0	
6000	0	0	0	0	0	
6200	0	0	0	0	0	
6400	0	0	0	0	0	
6600	0	0	0	0	0	
6800	0	0	0	0	0	
7000	0	0	0	0	0	
7200	0	0	0	0	0	
7400	0	0	0	0	0	
7600	0	0	0	0	0	
7800	0	0	0	0	0	
8000	0	0	0	0	0	
8200	0	0	0	0	0	
8400	0	0	0	0	0	
8600	0	0	0	0	0	
8800	0	0	0	0	0	
9000	0	0	0	0	0	
9200	0	0	0	0	0	
9400	0	0	0	0	0	
9600	0	0	0	0	0	
9800	0	0	0	0	0	
10000	0	0	0	0	0	
10200	0	0	0	0	0	
10400	0	0	0	0	0	
10600	0	0	0	0	0	
10800	0	0	0	0	0	
11000	0	0	0	0	0	
11200	0	0	0	0	0	
11400	0	0	0	0	0	
11600	0	0	0	0	0	
11800	0	0	0	0	0	
12000	0	0	0	0	0	
12200	0	0	0	0	0	
12400	0	0	0	0	0	
12600	0	0	0	0	0	
12800	0	0	0	0	0	
13000	0	0	0	0	0	
13200	0	0	0	0	0	
13400	0	0	0	0	0	
13600	0	0	0	0	0	
13800	0	0	0	0	0	
14000	0	0	0	0	0	
14200	0	0	0	0	0	
14400	0	0	0	0	0	
14600	0	0	0	0	0	
14800	0	0	0	0	0	
15000	0	0	0	0	0	
15200	0	0	0	0	0	
15400	0	0	0	0	0	
15600	0	0	0	0	0	
15800	0	0	0	0	0	
16000	0	0	0	0	0	
16200	0	0	0	0	0	
16400	0	0	0	0	0	
16600	0	0	0	0	0	
16800	0	0	0	0	0	
17000	0	0	0	0	0	
17200	0	0	0	0	0	
17400	0	0	0	0	0	
17600	0	0	0	0	0	
17800	0	0	0	0	0	
18000	0	0	0	0	0	
18200	0	0	0	0	0	
18400	0	0	0	0	0	
18600	0	0	0	0	0	
18800	0	0	0	0	0	
19000	0	0	0	0	0	
19200	0	0	0	0	0	
19400	0	0	0	0	0	
19600	0	0	0	0	0	
19800	0	0	0	0	0	
20000	0	0	0	0	0	
20200	0	0	0	0	0	
20400	0	0	0	0	0	
20600	0	0	0	0	0	
20800	0	0	0	0	0	
21000	0	0	0	0	0	
21200	0	0	0	0	0	
21400	0	0	0	0	0	
21600	0	0	0	0	0	
21800	0	0	0	0	0	
22000	0	0	0	0	0	
22200	0	0	0	0	0	
22400	0	0	0	0	0	
22600	0	0	0	0	0	
22800	0	0	0	0	0	
23000	0	0	0	0	0	
23200	0	0	0	0	0	
23400	0	0	0	0	0	
23600	0	0	0	0	0	
23800	0	0	0	0	0	
24000	0	0	0	0	0	
24200	0	0	0	0	0	
24400	0	0	0	0	0	
24600	0	0	0	0	0	
24800	0	0	0	0	0	
25000	0	0	0	0	0	
25200	0	0	0	0	0	
25400	0	0	0	0	0	
25600	0	0	0	0	0	
25800	0	0	0	0	0	
26000	0	0	0	0	0	
26200	0	0	0	0	0	
26400	0	0	0	0	0	
26600	0	0	0	0	0	
26800	0	0	0	0	0	
27000	0	0	0	0	0	
27200	0	0	0	0	0	
27400	0	0	0	0	0	
27600	0	0	0	0	0	
27800	0	0	0	0	0	
28000	0	0	0	0	0	
28200	0	0	0	0	0	
28400	0	0	0	0	0	
28600	0	0	0	0	0	
28800	0	0	0	0	0	
29000	0	0	0	0	0	
29200	0	0	0	0	0	
29400	0	0	0	0	0	
29600	0	0	0	0	0	
29800	0	0	0	0	0	
30000	1	0	0	0	0	
30200	0	0	0	0	0	
30400	0	0	0	0	0	
30600	0	0	0	0	0	
30800	0	0	0	0	0	
31000	0	0	0	0	0	
31200	0	0	0	0	0	
31400	0	0	0	0	0	
31600	0	0	0	0	0	
31800	0	0	0	0	0	
32000	0	0	0	0	0	
32200	3	0	0	0	0	
32400	28	8	2	2	0	
32600	40	10	4	13	0	
32800	47	25	3	74	1	
33000	164	33	125	110	4	
33200	403	56	424	457	222	
33400	381	55	629	661	644	
33600	412	54	521	661	41	
33800	235	74	298	209	1	
34000	98	13	38	114	0	
34200	67	1	11	12	0	
34400	35	0	3	12	1	
34600	13	0	3	4	0	
34800	4	0	8	4	0	
35000	1	0	1	3	0	
35200	5	0	4	1	0	
35400	0	0	1	1	0	
35600	1	0	3	1	0	
35800	3	0	2	2	0	
36000	1	0	4	0	0	
36200	1	0	2	0	0	
36400	3	0	1	0	0	
36600	2	0	0	0	0	
36800	0	0	2	0	0	
37000	0	0	1	0	0	
37200	0	0	0	0	0	
37400	0	0	0	0	0	
37600	0	0	1	0	0	
37800	0	0	1	0	0	
38000	0	0	1	0	0	
38200	0	0	0	0	0	
38400	0	0	1	0	0	
38600	0	0	2	0	0	
38800	0	0	2	0	0	
39000	0	0	1	1	0	
39200	0	0	3	0	0	
39400	0	0	1	0	0	
39600	0	0	1	0	0	
39800	1	0	0	0	0	
40000	0	0	0	0	0	
40200	0	0	0	0	0	
40400	1	0	3	0	0	
40600	0	0	0	0	0	
40800	0	0	0	0	0	
41000	0	0	1	0	0	
41200	0	0	1	0	0	
41400	0	0	5	0	0	
41600	0	1	7	1	0	
41800	1	1	5	1	0	
42000	0	1	4	0	0	
42200	0	0	1	0	0	
42400	0	0	3	0	0	
42600	0	0	3	0	0	
42800	0	0	2	0	0	
43000	0	0	2	1	0	
43200	0	1	1	0	0	
43400	3	0	2	0	0	
43600	0	0	3	0	0	
43800	0	0	2	0	0	
44000	0	0	1	0	0	
44200	0	0	1	0	0	
44400	0	0	0	0	0	
44600	0	0	2	1	0	
44800	0	0	1	0	0	
45000	0	0	3	0	0	
45200	0	0	0	0	0	
45400	0	0	4	0	0	
45600	0	0	0	1	0	
45800	0	0	5	0	0	
46000	0	0	2	0	0	
46200	0	0	2	0	0	
46400	0	0	0	0	0	
46600	0	1	3	0	0	
46800	0	0	1	0	0	
47000	1	0	3	0	0	
47200	2	0	2	1	0	
47400	1	0	2	0	0	
47600	3	1	4	1	0	
47800	1	0	3	2	0	
48000	2	0	4	2	1	
48200	3	1	2	3	0	
48400	5	3	3	1	0	
48600	5	11	7	3	0	
48800	6	100	5	4	0	
49000	5	207	5	3	0	
49200	9	209	7	5	1	
49400	24	292	8	9	2	
49600	43	395	21	32	6	
49800	127	399	107	104	175	
50000	160	225	251	185	1384	
50200	368	181	302	275	135	
50400	174	81	85	83	2	
50600	43	4	11	16	2	
50800	16	1	5	8	0	
51000	4	0	2	4	0	
51200	0	0	2	2	0	
51400	1	0	0	2	0	
51600	1	0	1	0	0	
51800	2	0	0	0	0	
52000	0	0	1	1	1	
52200	0	0	0	0	0	
52400	0	0	0	0	0	
52600	0	0	0	0	0	
52800	1	0	1	0	0	
53000	1	0	0	0	0	
53200	0	0	0	0	0	
53400	0	0	0	0	0	
53600	0	0	0	0	0	
53800	0	0	0	0	0	
54000	0	0	0	0	0	
54200	0	0	0	0	0	
54400	0	0	0	0	0	
54600	0	0	0	0	0	
54800	0	0	0	0	0	
55000	0	0	0	0	0	
55200	0	0	0	0	0	
55400	0	0	0	0	0	
55600	0	0	0	0	0	
55800	0	0	0	0	0	
56000	0	0	0	0	0	
56200	0	0	0	0	0	
56400	0	0	0	0	0	
56600	0	0	0	0	0	
56800	0	0	2	0	0	
57000	0	0	0	0	0	
57200	0	0	0	0	0	
57400	0	0	0	0	0	
57600	0	0	0	0	0	
57800	0	0	0	0	0	
58000	0	0	0	0	0	
58200	0	0	0	0	0	
58400	0	0	0	0	0	
58600	0	0	0	0	0	
58800	0	1	0	0	0	
59000	0	0	0	0	0	
59200	0	0	0	0	0	
59400	0	0	0	0	0	
59600	0	0	0	0	0	
59800	0	0	0	0	0	
60000	0	1	0	0	0	
60200	0	0	0	0	0	
60400	0	0	0	0	0	
60600	0	0	0	0	0	
60800	0	0	0	0	0	
61000	0	0	1	0	0	
